Wall time,Step,Value
1784441163.4626803,0,0.0
1784441164.44989,2,0.0
1784441164.9365163,3,0.0
1784441165.4236832,4,0.0
1784441167.8452783,9,0.0
1784441168.3184266,10,0.0
1784441168.79846,11,0.0
1784441170.241992,14,0.0
1784441170.7855651,15,0.0
1784441171.258742,16,0.0
1784441172.207447,18,0.0
1784441172.6791534,19,0.0
1784441173.1519096,20,0.0
1784441174.0907753,22,0.0
1784441174.5555162,23,0.0
1784441175.954127,26,0.0
1784441176.4220452,27,0.0
1784441176.8903744,28,0.0
1784441177.3747637,29,0.13143539428710938
1784441177.8453,30,0.030962027609348297
1784441179.233063,33,0.020608050748705864
1784441179.6960409,34,0.0031889169476926327
1784441180.6142168,36,0.11308621615171432
1784441181.0833874,37,0.3707810342311859
1784441181.5482697,38,1.089003562927246
1784441182.0296326,39,3.102189540863037
1784441182.5797107,40,6.752744674682617
1784441186.2018766,47,64.06706237792969
1784441186.7377157,48,73.7123794555664
1784441187.292716,49,70.83901977539062
1784441187.8469768,50,67.6456527709961
1784441188.382801,51,66.99160766601562
1784441188.9480112,52,80.20101928710938
1784441189.5297446,53,62.5512809753418
1784441190.036951,54,64.78175354003906
1784441190.540911,55,51.28479766845703
1784441191.5519373,57,40.268253326416016
1784441193.1158159,60,16.595558166503906
1784441193.6243913,61,10.104607582092285
1784441194.14599,62,4.395251274108887
1784441194.6607344,63,2.1632132530212402
1784441195.6670797,65,0.17489497363567352
1784441196.1684096,66,0.002400393597781658
1784441196.673584,67,0.0
1784441197.1827817,68,0.0
1784441198.1864676,70,0.0
1784441198.6912434,71,0.0
1784441199.7054427,73,0.0
1784441200.7170908,75,0.0
1784441201.7309747,77,0.0
1784441202.2377646,78,0.0
1784441202.7472253,79,0.0
1784441203.247535,80,0.0
1784441204.2489522,82,0.0
1784441204.7377288,83,0.0
1784441205.7410188,85,0.0
1784441206.2459574,86,0.0
1784441206.7410505,87,0.0
1784441207.7516966,89,0.0
1784441208.253347,90,0.01523627433925867
1784441210.7709694,95,0.25041911005973816
1784441212.7429626,99,0.9768692851066589
1784441213.2389417,100,1.392465353012085
1784441214.7185931,103,1.6658848524093628
1784441215.2212255,104,1.6310889720916748
1784441216.203138,106,1.8084248304367065
1784441216.6912112,107,1.3731632232666016
1784441217.1875648,108,0.7581891417503357
1784441217.674257,109,0.6791552305221558
1784441218.1736572,110,0.43444129824638367
1784441218.6597607,111,0.5787290334701538
1784441219.1462266,112,0.5273215770721436
1784441220.1243627,114,0.20147277414798737
1784441220.6117496,115,0.08676719665527344
1784441221.0925694,116,0.09543028473854065
1784441222.9986677,120,0.07778261601924896
1784441223.4779313,121,0.05598869174718857
1784441225.372806,125,0.03728807717561722
