Wall time,Step,Value
1784441163.462675,0,0.0
1784441164.4498854,2,0.0
1784441164.9365113,3,0.0
1784441165.4236782,4,0.0
1784441167.8452733,9,0.0
1784441168.3184216,10,0.0
1784441168.798455,11,0.0
1784441170.241987,14,0.0
1784441170.7855604,15,0.0
1784441171.2587366,16,0.0
1784441172.2074413,18,0.0
1784441172.6791484,19,0.0
1784441173.1519046,20,0.0
1784441174.0907705,22,0.0
1784441174.5555112,23,0.0
1784441175.954122,26,0.0
1784441176.4220402,27,0.0
1784441176.89037,28,0.0
1784441177.3747585,29,0.0
1784441177.8452952,30,0.0
1784441179.233058,33,0.0
1784441179.6960359,34,0.0
1784441180.6142118,36,0.0
1784441181.0833828,37,0.0
1784441181.548265,38,0.0
1784441182.0296268,39,0.0
1784441182.5797057,40,0.0
1784441186.201872,47,3.5439870357513428
1784441186.7377105,48,5.248920440673828
1784441187.2927113,49,6.853285789489746
1784441187.8469718,50,8.345884323120117
1784441188.3827963,51,9.815589904785156
1784441188.9480064,52,11.747625350952148
1784441189.5297396,53,13.061920166015625
1784441190.0369458,54,14.4542818069458
1784441190.5409055,55,15.374249458312988
1784441191.551932,57,16.659807205200195
1784441193.1158106,60,16.64960289001465
1784441193.6243865,61,16.128265380859375
1784441194.1459846,62,15.407098770141602
1784441194.6607296,63,14.607810974121094
1784441195.667075,65,12.887262344360352
1784441196.168405,66,12.012346267700195
1784441196.673579,67,11.137346267700195
1784441197.1827767,68,10.262346267700195
1784441198.1864626,70,8.512346267700195
1784441198.6912386,71,7.637345790863037
1784441199.7054374,73,5.887345790863037
1784441200.7170856,75,4.137345790863037
1784441201.73097,77,2.387346029281616
1784441202.2377596,78,1.5123460292816162
1784441202.7472203,79,0.6373460292816162
1784441203.2475302,80,0.0
1784441204.2489424,82,0.0
1784441204.7377238,83,0.0
1784441205.741014,85,0.0
1784441206.2459526,86,0.0
1784441206.7410455,87,0.0
1784441207.751692,89,0.0
1784441208.253342,90,0.0
1784441210.7709644,95,0.0
1784441212.7429578,99,0.0
1784441213.2389371,100,0.0
1784441214.718588,103,0.0
1784441215.2212205,104,0.0
1784441216.203133,106,0.0
1784441216.6912067,107,0.0
1784441217.1875596,108,0.0
1784441217.6742525,109,0.0
1784441218.1736517,110,0.0
1784441218.6597557,111,0.0
1784441219.1462219,112,0.0
1784441220.1243582,114,0.0
1784441220.6117449,115,0.0
1784441221.0925648,116,0.0
1784441222.9986625,120,0.0
1784441223.4779263,121,0.0
1784441225.3728013,125,0.0
1784441225.8384423,126,0.0
1784441226.7776225,128,0.0
1784441227.252432,129,0.0
1784441227.716519,130,0.0
1784441228.1967413,131,0.0
1784441228.6754556,132,0.0
1784441229.6155643,134,0.0
1784441230.5589674,136,0.0
1784441231.0278308,137,0.0
1784441231.5277135,138,0.0
1784441232.0105846,139,0.0
1784441233.8742034,143,0.0
1784441234.33526,144,0.0
1784441234.8036335,145,0.0
1784441235.2617328,146,0.0
1784441235.7251866,147,0.0
1784441237.124083,150,0.0
1784441238.9736328,154,0.0
1784441239.8966691,156,0.0
1784441240.3573558,157,0.0
1784441241.2793133,159,0.0
1784441241.7365618,160,0.0
1784441242.6504152,162,0.0
1784441243.1072717,163,0.0
1784441243.5582395,164,0.0
1784441244.4588397,166,0.0
1784441245.3490202,168,0.0
1784441246.23929,170,0.0
1784441246.6778574,171,0.0
1784441247.1265957,172,0.0
1784441248.0126677,174,0.0
1784441248.4610884,175,0.0
1784441248.9024143,176,0.0
1784441249.3468134,177,0.0
1784441249.7796147,178,0.0
1784441250.6516762,180,0.0
1784441251.1216488,181,0.0
1784441251.570418,182,0.0
1784441252.01724,183,0.0
1784441252.4642005,184,0.0
1784441252.9078918,185,0.0
1784441253.350182,186,0.0
1784441254.677856,189,0.0
1784441255.1210272,190,0.0
1784441255.5586064,191,0.0
1784441255.9973314,192,0.0
1784441257.3254287,195,0.0
1784441258.6421013,198,0.0
1784441259.0835977,199,0.0
1784441259.5236177,200,0.0
1784441260.3991904,202,0.0
1784441260.8353076,203,0.0
1784441261.2745974,204,0.0
1784441261.7133057,205,0.0
1784441262.6099198,207,0.0
1784441263.0598109,208,0.0
1784441263.4929113,209,0.0
1784441264.379213,211,0.0
1784441265.2616851,213,0.0
1784441266.151355,215,0.0
1784441266.5909915,216,0.0
1784441267.4691093,218,0.0
1784441267.9078977,219,0.0
1784441268.3537838,220,0.0
1784441268.7968426,221,0.0
1784441269.2434177,222,0.0
1784441270.1248276,224,0.0
1784441270.573553,225,0.0
1784441271.0206687,226,0.0
1784441272.3548126,229,0.0
1784441273.2514973,231,0.0
1784441273.7011545,232,0.0
1784441274.5916758,234,0.0
1784441275.0415347,235,0.0
1784441275.5174475,236,0.0
