Wall time,Step,Value
1784441163.4611437,0,0.0
1784441164.4484086,2,0.0
1784441164.9349663,3,0.0
1784441165.4221983,4,0.0
1784441167.843849,9,0.0
1784441168.3170078,10,0.0
1784441168.7970455,11,0.0
1784441170.2405605,14,0.0
1784441170.7809656,15,0.0
1784441171.2571263,16,0.0
1784441172.2057621,18,0.0
1784441172.6774776,19,0.0
1784441173.150406,20,0.0
1784441174.089336,22,0.0
1784441174.5540965,23,0.0
1784441175.9526687,26,2.5002659640449565e-06
1784441176.4205654,27,1.894745946628973e-05
1784441176.888754,28,0.0009051690576598048
1784441177.373364,29,0.00013033041614107788
1784441177.8438745,30,0.0
1784441179.2313433,33,7.36473793949699e-06
1784441179.694595,34,0.0002971607609651983
1784441180.6128044,36,0.005258518271148205
1784441181.0817347,37,0.008681545034050941
1784441181.5465572,38,0.022495612502098083
1784441182.027924,39,0.062818743288517
1784441182.5782666,40,0.11526405811309814
1784441186.1964898,47,0.370699942111969
1784441186.7362883,48,0.35723596811294556
1784441187.2911425,49,0.3225732743740082
1784441187.8455498,50,0.29009324312210083
1784441188.3813648,51,0.23981177806854248
1784441188.9462051,52,0.23094801604747772
1784441189.5283113,53,0.18966631591320038
1784441190.03553,54,0.12130855768918991
1784441190.5394957,55,0.062489815056324005
1784441191.5505228,57,0.002002241788432002
1784441193.1143856,60,0.0
1784441193.6229472,61,0.0
1784441194.1443722,62,0.0
1784441194.6593077,63,0.0
1784441195.6656725,65,0.0
1784441196.1667688,66,0.0
1784441196.672149,67,0.0
1784441197.181364,68,0.0
1784441198.1850488,70,0.0
1784441198.689682,71,0.0
1784441199.7040272,73,0.0
1784441200.7156847,75,0.0
1784441201.7295613,77,0.0
1784441202.236349,78,0.0
1784441202.7457998,79,0.0
1784441203.245876,80,0.0
1784441204.2471883,82,0.0
1784441204.7360687,83,0.0
1784441205.739421,85,0.0
1784441206.244534,86,0.0
1784441206.739644,87,2.432168912491761e-06
1784441207.746987,89,4.093684765393846e-05
1784441208.2519443,90,0.00028274545911699533
1784441210.769267,95,0.0040663741528987885
1784441212.7413383,99,0.01243118941783905
1784441213.2375064,100,0.005251418333500624
1784441214.716971,103,0.0022622253745794296
1784441215.2198188,104,0.003604866098612547
1784441216.2014592,106,0.002392951864749193
1784441216.689624,107,0.001566033810377121
1784441217.1858146,108,0.0013489953707903624
1784441217.6725972,109,0.0010081296786665916
1784441218.172226,110,0.0002317340549780056
1784441218.65815,111,9.489945659879595e-05
1784441219.1445413,112,0.00012896006228402257
1784441220.1229389,114,0.00023531890474259853
1784441220.610326,115,0.00021787581499665976
1784441221.0911303,116,0.0001924859534483403
1784441222.9972198,120,0.0001732467208057642
1784441223.476463,121,0.00019831919053103775
1784441225.3713796,125,0.002112629357725382
1784441225.8370433,126,0.003348275553435087
1784441226.77598,128,0.005334540270268917
1784441227.2508886,129,0.008976778015494347
1784441227.714849,130,0.010582605376839638
1784441228.1953316,131,0.010791471228003502
1784441228.674054,132,0.012365429662168026
1784441229.6139116,134,0.011155130341649055
1784441230.5575397,136,0.009840063750743866
1784441231.0263357,137,0.01037888415157795
1784441231.5262685,138,0.01126290112733841
1784441232.009033,139,0.011445475742220879
1784441233.8725064,143,0.011857440695166588
1784441234.3336122,144,0.009729675948619843
1784441234.7987628,145,0.011147375218570232
1784441235.2601175,146,0.012564382515847683
1784441235.7234447,147,0.01248590461909771
1784441237.1224542,150,0.011689119040966034
1784441238.9720047,154,0.009139619767665863
1784441239.8950408,156,0.00569155253469944
1784441240.3556569,157,0.004661127459257841
1784441241.27791,159,0.0034272498451173306
1784441241.7351458,160,0.0025663948617875576
1784441242.648994,162,0.0021966989152133465
1784441243.1058524,163,0.001808157074265182
1784441243.5568168,164,0.0017810557037591934
1784441244.4574213,166,0.001548714004456997
1784441245.347602,168,0.0010832170955836773
1784441246.2378778,170,0.0007377080619335175
1784441246.6763976,171,0.000746995210647583
1784441247.1251833,172,0.0008571040816605091
1784441248.0112584,174,0.0007099056383594871
1784441248.4594958,175,0.000477827328722924
1784441248.900972,176,0.0003706302959471941
1784441249.3453944,177,0.0003122541820630431
1784441249.778214,178,0.0005376491462811828
1784441250.6502023,180,0.0007326249033212662
1784441251.120175,181,0.0006219957140274346
1784441251.568976,182,0.0007699981215409935
1784441252.0157647,183,0.0014456756180152297
1784441252.4627683,184,0.0018090589437633753
1784441252.9064643,185,0.001393308280967176
1784441253.3487434,186,0.0008644983172416687
1784441254.672317,189,0.0015860996209084988
1784441255.1196206,190,0.0013723948504775763
1784441255.557187,191,0.0009523892076686025
1784441255.995916,192,0.0008089825278148055
1784441257.3239968,195,0.0010248306207358837
1784441258.6406894,198,0.0011285898508504033
1784441259.0821567,199,0.0013525215908885002
1784441259.5221872,200,0.0012095530983060598
1784441260.3977346,202,0.0008650750387459993
1784441260.8338983,203,0.0006577328313142061
1784441261.273169,204,0.0007303676102310419
1784441261.7118552,205,0.0008177944691851735
1784441262.6085112,207,0.001174276228994131
1784441263.0583465,208,0.0008553212974220514
1784441263.4914947,209,0.0004688984190579504
1784441264.377777,211,0.0006612804718315601
1784441265.260275,213,0.0017460677772760391
1784441266.1499295,215,0.0021152934059500694
1784441266.5895703,216,0.001498696394264698
1784441267.4676695,218,0.0009125455981120467
1784441267.9064784,219,0.0007461494533345103
1784441268.3523395,220,0.0006713272887282073
1784441268.7954235,221,0.0006859847344458103
1784441269.241752,222,0.0009670915314927697
