Wall time,Step,Value
1784457011.6887348,0,0.7330805659294128
1784457012.6602943,2,0.8052150011062622
1784457013.1280968,3,1.0073552131652832
1784457013.5950518,4,1.042540192604065
1784457015.9022636,9,1.8283127546310425
1784457016.373562,10,2.2576940059661865
1784457016.8401504,11,2.263937473297119
1784457018.2148318,14,3.773951292037964
1784457018.6711752,15,5.062295436859131
1784457019.1309416,16,5.384950160980225
1784457020.057342,18,8.782308578491211
1784457020.5090857,19,11.83273696899414
1784457020.974334,20,13.71418285369873
1784457021.885683,22,17.34075927734375
1784457022.3360043,23,22.145837783813477
1784457023.6815758,26,31.1655216217041
1784457024.1386383,27,30.171680450439453
1784457024.5902424,28,36.6472053527832
1784457025.0377,29,37.05895233154297
1784457025.499808,30,41.006107330322266
1784457026.8962913,33,37.59931182861328
1784457027.4495025,34,39.69330978393555
1784457028.4342275,36,41.47437286376953
1784457028.8984048,37,37.04600524902344
1784457029.3535304,38,46.72385787963867
1784457029.8164482,39,49.84199142456055
1784457030.284953,40,49.494476318359375
1784457033.5873675,47,59.68759536743164
1784457034.0894353,48,55.36807632446289
1784457034.5850756,49,64.71106719970703
1784457035.0590653,50,65.52899932861328
1784457035.5110767,51,67.19425201416016
1784457035.9982674,52,69.98859405517578
1784457036.4551182,53,67.96379089355469
1784457036.9480388,54,69.67332458496094
1784457037.3874428,55,73.44770050048828
1784457038.2624044,57,74.60685729980469
1784457039.5863824,60,85.54126739501953
1784457040.0414474,61,86.62785339355469
1784457040.4838035,62,85.74712371826172
1784457040.9139118,63,89.36920166015625
1784457041.808002,65,93.57904052734375
1784457042.2571974,66,94.99805450439453
1784457042.7100255,67,98.79273223876953
1784457043.1460602,68,102.66832733154297
1784457044.0378757,70,100.62883758544922
1784457044.4784937,71,108.61387634277344
1784457045.3559208,73,108.65371704101562
1784457046.2599723,75,109.97994995117188
1784457047.1615045,77,110.30377960205078
1784457047.5888507,78,110.89164733886719
1784457048.035061,79,112.35639953613281
1784457048.4952307,80,111.39207458496094
1784457049.4178329,82,112.25707244873047
1784457049.8736944,83,110.8975830078125
1784457050.7668502,85,114.32762145996094
1784457051.204286,86,113.98102569580078
1784457051.6445506,87,110.90684509277344
1784457052.5157323,89,109.31285858154297
1784457052.9570482,90,109.49714660644531
1784457055.1558547,95,108.54492950439453
1784457056.8682508,99,116.63278198242188
1784457057.2917087,100,114.59308624267578
1784457058.6092193,103,113.96263122558594
1784457059.0420055,104,115.01802825927734
1784457059.9075887,106,114.238525390625
1784457060.3490343,107,115.53284454345703
1784457060.780673,108,118.77374267578125
1784457061.2257745,109,117.56336975097656
1784457061.6634707,110,117.37249755859375
1784457062.0959096,111,116.60954284667969
1784457062.5382414,112,117.5710220336914
1784457063.4297373,114,117.35810852050781
1784457063.8613214,115,118.55655670166016
1784457064.2949755,116,120.36518859863281
1784457066.0267425,120,121.07662200927734
1784457066.4547524,121,121.39514923095703
1784457068.1921828,125,122.25578308105469
1784457068.6158245,126,122.7688980102539
1784457069.515547,128,125.14488983154297
1784457069.9545114,129,124.6043472290039
1784457070.3864527,130,125.30369567871094
1784457070.8299806,131,125.08138275146484
1784457071.2813983,132,124.49437713623047
1784457072.1590273,134,126.05001831054688
1784457073.041955,136,125.08683776855469
1784457073.4780989,137,126.0096664428711
1784457073.9119892,138,126.79996490478516
1784457074.3456326,139,126.05045318603516
1784457076.0941782,143,127.87126159667969
1784457076.5286121,144,124.33030700683594
1784457076.9713516,145,124.39151763916016
1784457077.4129622,146,124.37397003173828
1784457077.8502786,147,124.87334442138672
1784457079.2675676,150,125.65318298339844
1784457081.0255404,154,126.8355941772461
1784457081.905564,156,126.63928985595703
1784457082.3453426,157,127.5810775756836
1784457083.2219803,159,129.44114685058594
1784457083.660394,160,127.96142578125
1784457084.5353816,162,128.72068786621094
1784457084.971229,163,126.88607788085938
1784457085.410646,164,128.93714904785156
1784457086.2809472,166,129.95474243164062
1784457087.1794686,168,128.91943359375
1784457088.2054436,170,128.42474365234375
1784457088.6964142,171,127.62638092041016
1784457089.1891487,172,128.12953186035156
1784457090.0970616,174,128.43023681640625
1784457090.5718603,175,128.7299346923828
1784457091.013073,176,130.95925903320312
1784457091.4808366,177,128.3763427734375
1784457091.9159248,178,129.69717407226562
1784457092.7932587,180,127.18257904052734
1784457093.2644544,181,130.53274536132812
1784457093.703832,182,128.50437927246094
1784457094.1400597,183,128.1063995361328
1784457094.598276,184,128.12115478515625
1784457095.0398753,185,127.59566497802734
